neighbourhood,entire_home,private_room,shared_room
Westminster,8476,2157,43
Kensington and Chelsea,5284,975,24
Camden,4335,1888,43
Tower Hamlets,4332,3155,30
Hackney,4137,2265,14
Islington,3453,1626,14
Southwark,3225,2079,24
Wandsworth,3145,1714,9
Lambeth,3032,2016,11
Hammersmith and Fulham,2779,1162,9
Brent,1724,1200,19
Lewisham,1540,1168,24
Barnet,1488,925,19
Haringey,1415,1124,15
Newham,1378,1169,28
Ealing,1343,1041,3
Greenwich,1186,911,10
Waltham Forest,1097,827,20
Richmond upon Thames,872,411,2
Merton,864,648,9
Croydon,853,779,7
Hounslow,736,569,5
City of London,522,81,2
Bromley,474,386,4
Redbridge,451,574,9
Enfield,450,458,5
Kingston upon Thames,409,300,0
Hillingdon,379,560,4
Barking and Dagenham,373,400,9
Havering,294,256,3
Harrow,287,332,9
Bexley,250,336,3
Sutton,228,226,3
neighbourhood,0,0,0
